Date,Clicks,Impressions,CTR,Position
2026-06-03,0,0,,
2026-06-04,0,0,,
2026-06-05,0,0,,
2026-06-06,0,2,0%,16.5
2026-06-07,0,2,0%,82
2026-06-08,0,7,0%,64.7
2026-06-09,1,10,10%,67.3
2026-06-10,0,4,0%,87.8
2026-06-11,0,11,0%,58.5
2026-06-12,0,16,0%,38.4
2026-06-13,0,40,0%,55.2
2026-06-14,0,34,0%,42.7
2026-06-15,0,39,0%,41.1
2026-06-16,1,65,1.54%,32.5
2026-06-17,0,49,0%,21.8
2026-06-18,0,97,0%,41.9
2026-06-19,0,53,0%,15.7
2026-06-20,0,51,0%,14.5
2026-06-21,0,42,0%,33.6
2026-06-22,1,37,2.7%,30.6
2026-06-23,0,78,0%,42.6
2026-06-24,2,34,5.88%,36.1
2026-06-25,0,29,0%,23.4
2026-06-26,0,51,0%,23.8
2026-06-27,0,45,0%,20.6
2026-06-28,0,50,0%,23.6
2026-06-29,0,42,0%,37.8
2026-06-30,0,88,0%,51.8
2026-07-01,0,34,0%,25.5
2026-07-02,0,48,0%,43.8
2026-07-03,2,39,5.13%,24.4
2026-07-04,0,71,0%,34.1
2026-07-05,0,81,0%,39.3
2026-07-06,2,54,3.7%,37.6
2026-07-07,4,166,2.41%,45.8
2026-07-08,0,120,0%,34.2
2026-07-09,1,90,1.11%,24
2026-07-10,1,70,1.43%,25.6
2026-07-11,0,109,0%,31.8
2026-07-12,1,169,0.59%,31.8
2026-07-13,2,129,1.55%,33.1
2026-07-14,0,174,0%,45.8
2026-07-15,1,96,1.04%,27.7
2026-07-16,2,115,1.74%,49.9
2026-07-17,1,111,0.9%,34.7
2026-07-18,1,79,1.27%,33.2
2026-07-19,1,130,0.77%,38.8
2026-07-20,5,100,5%,23.7
2026-07-21,1,159,0.63%,42.3
2026-07-22,0,115,0%,31.4
2026-07-23,2,143,1.4%,21.7
2026-07-24,2,184,1.09%,27.3
2026-07-25,1,101,0.99%,22.3
2026-07-26,2,155,1.29%,30.5
2026-07-27,2,148,1.35%,28.6
2026-07-28,1,279,0.36%,43.4
2026-07-29,2,130,1.54%,29.6
2026-07-30,4,266,1.5%,33.9
2026-07-31,2,243,0.82%,21.3
2026-08-01,3,314,0.96%,24.8
2026-08-02,5,330,1.52%,28.7
2026-08-03,3,311,0.96%,23.3
2026-08-04,2,419,0.48%,30.9
2026-08-05,7,377,1.86%,19.6
2026-08-06,6,347,1.73%,15.1
