Country,Clicks,Impressions,CTR,Position
Saudi Arabia,34,2932,1.16%,38.08
Pakistan,13,432,3.01%,11.55
India,7,287,2.44%,12.94
Germany,3,137,2.19%,22.82
United Arab Emirates,2,204,0.98%,16.12
Egypt,2,62,3.23%,9.18
Turkey,2,43,4.65%,25.63
United Kingdom,1,612,0.16%,45.67
Netherlands,1,302,0.33%,8.01
Qatar,1,83,1.2%,10.27
Indonesia,1,51,1.96%,23.33
Kuwait,1,39,2.56%,14.18
South Africa,1,25,4%,9.48
Italy,1,24,4.17%,9.83
Mauritius,1,11,9.09%,9.45
Switzerland,1,6,16.67%,8.33
Romania,1,6,16.67%,25
Malawi,1,2,50%,11
United States,0,576,0%,33.82
Bahrain,0,116,0%,37.97
France,0,108,0%,75.78
Vietnam,0,89,0%,31.16
Philippines,0,76,0%,23.26
Malaysia,0,66,0%,19.35
Canada,0,56,0%,15.91
Australia,0,51,0%,35.41
Bangladesh,0,39,0%,17.49
Spain,0,39,0%,34.67
Thailand,0,37,0%,30.59
Jordan,0,36,0%,14.81
Singapore,0,33,0%,8.03
Russia,0,32,0%,34.38
Ukraine,0,26,0%,33.81
Morocco,0,25,0%,22.96
Mexico,0,22,0%,38.95
Algeria,0,20,0%,30.4
Oman,0,16,0%,9.44
Nigeria,0,15,0%,8.47
Iraq,0,15,0%,27.2
Kenya,0,13,0%,7.92
Belgium,0,11,0%,9.91
Japan,0,11,0%,12.73
Brazil,0,11,0%,37.18
Sri Lanka,0,10,0%,10.1
Ireland,0,9,0%,10.33
Lebanon,0,8,0%,7.62
Austria,0,6,0%,6.67
South Korea,0,6,0%,7.5
Tanzania,0,6,0%,23.33
Colombia,0,6,0%,26.17
Azerbaijan,0,5,0%,7.8
Hong Kong,0,5,0%,10.4
Denmark,0,5,0%,11
New Zealand,0,5,0%,17.4
Argentina,0,5,0%,17.6
Tunisia,0,4,0%,6.5
Ghana,0,4,0%,7.25
Norway,0,4,0%,7.25
Georgia,0,4,0%,8
Sudan,0,4,0%,8
Sweden,0,4,0%,8
Brunei,0,4,0%,9.25
Nepal,0,4,0%,9.5
Maldives,0,4,0%,9.75
Somalia,0,4,0%,11
Bulgaria,0,4,0%,51
Finland,0,3,0%,7.33
Uganda,0,3,0%,8
Ethiopia,0,3,0%,10.33
Syria,0,3,0%,28.33
Belarus,0,3,0%,29.33
Greece,0,3,0%,46.67
Chad,0,2,0%,3
Czechia,0,2,0%,6
Hungary,0,2,0%,7
Malta,0,2,0%,7.5
Slovakia,0,2,0%,7.5
Mauritania,0,2,0%,8.5
Poland,0,2,0%,8.5
Yemen,0,2,0%,8.5
Lithuania,0,2,0%,11
Portugal,0,2,0%,25.5
Venezuela,0,2,0%,28
Croatia,0,2,0%,46
Congo - Kinshasa,0,1,0%,2
Mali,0,1,0%,3
China,0,1,0%,5
Slovenia,0,1,0%,5
Uzbekistan,0,1,0%,5
Iran,0,1,0%,6
Guyana,0,1,0%,7
Palestine,0,1,0%,7
Albania,0,1,0%,8
Israel,0,1,0%,8
Zambia,0,1,0%,8
Zimbabwe,0,1,0%,8
Kazakhstan,0,1,0%,9
Kyrgyzstan,0,1,0%,9
Latvia,0,1,0%,9
Moldova,0,1,0%,9
Trinidad & Tobago,0,1,0%,9
Cyprus,0,1,0%,10
Macedonia,0,1,0%,11
Christmas Island,0,1,0%,12
Ecuador,0,1,0%,37
El Salvador,0,1,0%,47
Myanmar (Burma),0,1,0%,59
