page,hotel_variation_angle
/jeddah/king-abdulaziz-airport-to-waldorf-astoria-jeddah,location
/jeddah/waldorf-astoria-jeddah-to-king-abdulaziz-airport,location
/jeddah/king-abdulaziz-airport-to-ritz-carlton-jeddah,location
/jeddah/ritz-carlton-jeddah-to-king-abdulaziz-airport,location
/jeddah/king-abdulaziz-airport-to-rosewood-jeddah,luxury
/jeddah/rosewood-jeddah-to-king-abdulaziz-airport,luxury
/jeddah/king-abdulaziz-airport-to-park-hyatt-jeddah,location
/jeddah/park-hyatt-jeddah-to-king-abdulaziz-airport,location
/jeddah/king-abdulaziz-airport-to-shangri-la-jeddah,luxury
/jeddah/shangri-la-jeddah-to-king-abdulaziz-airport,luxury
/jeddah/king-abdulaziz-airport-to-intercontinental-jeddah,location
/jeddah/intercontinental-jeddah-to-king-abdulaziz-airport,location
/jeddah/king-abdulaziz-airport-to-assila-luxury-collection-jeddah,luxury
/jeddah/assila-luxury-collection-jeddah-to-king-abdulaziz-airport,luxury
/jeddah/king-abdulaziz-airport-to-jeddah-hilton,luxury
/jeddah/jeddah-hilton-to-king-abdulaziz-airport,luxury
/jeddah/king-abdulaziz-airport-to-jeddah-marriott-hotel,location
/jeddah/jeddah-marriott-hotel-to-king-abdulaziz-airport,location
/jeddah/king-abdulaziz-airport-to-swissotel-jeddah-al-hamra,location
/jeddah/swissotel-jeddah-al-hamra-to-king-abdulaziz-airport,location
/jeddah/king-abdulaziz-airport-to-crowne-plaza-jeddah,location
/jeddah/crowne-plaza-jeddah-to-king-abdulaziz-airport,location
/jeddah/king-abdulaziz-airport-to-four-points-sheraton-jeddah-corniche,family
/jeddah/four-points-sheraton-jeddah-corniche-to-king-abdulaziz-airport,family
/jeddah/king-abdulaziz-airport-to-mercure-jeddah-al-hamra,family
/jeddah/mercure-jeddah-al-hamra-to-king-abdulaziz-airport,family
/jeddah/king-abdulaziz-airport-to-best-western-plus-jeddah-madinah-road,family
/jeddah/best-western-plus-jeddah-madinah-road-to-king-abdulaziz-airport,family
/jeddah/king-abdulaziz-airport-to-radisson-blu-jeddah,family
/jeddah/radisson-blu-jeddah-to-king-abdulaziz-airport,family
/jeddah/king-abdulaziz-airport-to-holiday-inn-jeddah-gateway,airport
/jeddah/holiday-inn-jeddah-gateway-to-king-abdulaziz-airport,airport
/jeddah/king-abdulaziz-airport-to-elaf-jeddah,family
/jeddah/elaf-jeddah-to-king-abdulaziz-airport,family
/jeddah/king-abdulaziz-airport-to-ibis-jeddah-city-center,family
/jeddah/ibis-jeddah-city-center-to-king-abdulaziz-airport,family
/jeddah/king-abdulaziz-airport-to-ibis-jeddah-malik-road,family
/jeddah/ibis-jeddah-malik-road-to-king-abdulaziz-airport,family
/jeddah/king-abdulaziz-airport-to-red-sea-palace-jeddah,family
/jeddah/red-sea-palace-jeddah-to-king-abdulaziz-airport,family
/riyadh/king-khalid-airport-to-four-seasons-hotel-riyadh,location
/riyadh/four-seasons-hotel-riyadh-to-king-khalid-airport,location
/riyadh/king-khalid-airport-to-the-ritz-carlton-riyadh,luxury
/riyadh/the-ritz-carlton-riyadh-to-king-khalid-airport,luxury
/riyadh/king-khalid-airport-to-mandarin-oriental-al-faisaliah-riyadh,location
/riyadh/mandarin-oriental-al-faisaliah-riyadh-to-king-khalid-airport,location
/riyadh/king-khalid-airport-to-burj-rafal-kempinski-riyadh,location
/riyadh/burj-rafal-kempinski-riyadh-to-king-khalid-airport,location
/riyadh/king-khalid-airport-to-hyatt-regency-riyadh-olaya,luxury
/riyadh/hyatt-regency-riyadh-olaya-to-king-khalid-airport,luxury
/riyadh/king-khalid-airport-to-the-st-regis-riyadh,location
/riyadh/the-st-regis-riyadh-to-king-khalid-airport,location
/riyadh/king-khalid-airport-to-fairmont-riyadh,location
/riyadh/fairmont-riyadh-to-king-khalid-airport,location
/riyadh/king-khalid-airport-to-intercontinental-riyadh,luxury
/riyadh/intercontinental-riyadh-to-king-khalid-airport,luxury
/riyadh/king-khalid-airport-to-movenpick-hotel-riyadh,luxury
/riyadh/movenpick-hotel-riyadh-to-king-khalid-airport,luxury
/riyadh/king-khalid-airport-to-narcissus-hotel-spa-riyadh,luxury
/riyadh/narcissus-hotel-spa-riyadh-to-king-khalid-airport,luxury
/riyadh/king-khalid-airport-to-voco-riyadh,luxury
/riyadh/voco-riyadh-to-king-khalid-airport,luxury
/riyadh/king-khalid-airport-to-hilton-riyadh-hotel-residences,luxury
/riyadh/hilton-riyadh-hotel-residences-to-king-khalid-airport,luxury
/riyadh/king-khalid-airport-to-riyadh-marriott-hotel,family
/riyadh/riyadh-marriott-hotel-to-king-khalid-airport,family
/riyadh/king-khalid-airport-to-courtyard-by-marriott-riyadh-olaya,family
/riyadh/courtyard-by-marriott-riyadh-olaya-to-king-khalid-airport,family
/riyadh/king-khalid-airport-to-crowne-plaza-riyadh-rdc,family
/riyadh/crowne-plaza-riyadh-rdc-to-king-khalid-airport,family
/riyadh/king-khalid-airport-to-radisson-blu-riyadh,family
/riyadh/radisson-blu-riyadh-to-king-khalid-airport,family
/riyadh/king-khalid-airport-to-holiday-inn-riyadh-izdihar,family
/riyadh/holiday-inn-riyadh-izdihar-to-king-khalid-airport,family
/riyadh/king-khalid-airport-to-novotel-riyadh-sahafah,family
