page_a,page_b,jaccard_5gram
/jeddah/waldorf-astoria-jeddah-to-king-abdulaziz-airport,/jeddah/king-abdulaziz-airport-to-waldorf-astoria-jeddah,0.7829
/jeddah/waldorf-astoria-jeddah-to-king-abdulaziz-airport,/jeddah/king-abdulaziz-airport-to-ritz-carlton-jeddah,0.7146
/jeddah/waldorf-astoria-jeddah-to-king-abdulaziz-airport,/jeddah/king-abdulaziz-airport-to-rosewood-jeddah,0.6915
/jeddah/waldorf-astoria-jeddah-to-king-abdulaziz-airport,/jeddah/ritz-carlton-jeddah-to-king-abdulaziz-airport,0.8540
/jeddah/waldorf-astoria-jeddah-to-king-abdulaziz-airport,/jeddah/rosewood-jeddah-to-king-abdulaziz-airport,0.8152
/jeddah/waldorf-astoria-jeddah-to-king-abdulaziz-airport,/jeddah/king-abdulaziz-airport-to-shangri-la-jeddah,0.6634
/jeddah/waldorf-astoria-jeddah-to-king-abdulaziz-airport,/jeddah/park-hyatt-jeddah-to-king-abdulaziz-airport,0.8601
/jeddah/waldorf-astoria-jeddah-to-king-abdulaziz-airport,/jeddah/king-abdulaziz-airport-to-park-hyatt-jeddah,0.7243
/jeddah/waldorf-astoria-jeddah-to-king-abdulaziz-airport,/jeddah/shangri-la-jeddah-to-king-abdulaziz-airport,0.7586
/jeddah/waldorf-astoria-jeddah-to-king-abdulaziz-airport,/jeddah/king-abdulaziz-airport-to-intercontinental-jeddah,0.7168
/jeddah/waldorf-astoria-jeddah-to-king-abdulaziz-airport,/jeddah/intercontinental-jeddah-to-king-abdulaziz-airport,0.8517
/jeddah/waldorf-astoria-jeddah-to-king-abdulaziz-airport,/jeddah/king-abdulaziz-airport-to-assila-luxury-collection-jeddah,0.6616
/jeddah/waldorf-astoria-jeddah-to-king-abdulaziz-airport,/jeddah/assila-luxury-collection-jeddah-to-king-abdulaziz-airport,0.7495
/jeddah/waldorf-astoria-jeddah-to-king-abdulaziz-airport,/jeddah/king-abdulaziz-airport-to-jeddah-hilton,0.6430
/jeddah/waldorf-astoria-jeddah-to-king-abdulaziz-airport,/jeddah/king-abdulaziz-airport-to-jeddah-marriott-hotel,0.6848
/jeddah/waldorf-astoria-jeddah-to-king-abdulaziz-airport,/jeddah/jeddah-hilton-to-king-abdulaziz-airport,0.7205
/jeddah/waldorf-astoria-jeddah-to-king-abdulaziz-airport,/jeddah/jeddah-marriott-hotel-to-king-abdulaziz-airport,0.7865
/jeddah/waldorf-astoria-jeddah-to-king-abdulaziz-airport,/jeddah/king-abdulaziz-airport-to-swissotel-jeddah-al-hamra,0.6760
/jeddah/waldorf-astoria-jeddah-to-king-abdulaziz-airport,/jeddah/swissotel-jeddah-al-hamra-to-king-abdulaziz-airport,0.7792
/jeddah/waldorf-astoria-jeddah-to-king-abdulaziz-airport,/jeddah/king-abdulaziz-airport-to-crowne-plaza-jeddah,0.6704
/jeddah/waldorf-astoria-jeddah-to-king-abdulaziz-airport,/jeddah/crowne-plaza-jeddah-to-king-abdulaziz-airport,0.7671
/jeddah/waldorf-astoria-jeddah-to-king-abdulaziz-airport,/jeddah/king-abdulaziz-airport-to-four-points-sheraton-jeddah-corniche,0.6666
/jeddah/waldorf-astoria-jeddah-to-king-abdulaziz-airport,/jeddah/four-points-sheraton-jeddah-corniche-to-king-abdulaziz-airport,0.7562
