page_a,page_b,jaccard_5gram
/routes/makkah-to-madinah,/routes/jeddah-to-makkah,0.2898
/routes/makkah-to-madinah,/routes/madinah-to-makkah,0.3824
/routes/makkah-to-madinah,/routes/riyadh-to-dammam,0.3130
/routes/makkah-to-madinah,/routes/jeddah-to-madinah,0.3772
/routes/makkah-to-madinah,/routes/dammam-to-riyadh,0.3083
/routes/makkah-to-madinah,/routes/riyadh-to-jeddah,0.2898
/routes/makkah-to-madinah,/routes/madinah-to-alula,0.3240
/routes/makkah-to-madinah,/routes/riyadh-to-alula,0.2938
/routes/makkah-to-madinah,/routes/jeddah-to-taif,0.2978
/routes/makkah-to-madinah,/routes/khobar-to-bahrain,0.2788
/routes/makkah-to-madinah,/routes/dammam-to-bahrain,0.2820
/routes/makkah-to-madinah,/routes/riyadh-to-qatar-border,0.2959
/routes/makkah-to-madinah,/routes/dammam-airport-to-khobar,0.2812
/routes/makkah-to-madinah,/routes/makkah-to-jeddah,0.4216
/routes/makkah-to-madinah,/routes/madinah-to-jeddah,0.3838
/routes/makkah-to-madinah,/routes/taif-to-jeddah,0.3051
/routes/makkah-to-madinah,/routes/yanbu-to-jeddah,0.3121
/routes/makkah-to-madinah,/routes/jeddah-to-kaec,0.3061
/routes/makkah-to-madinah,/routes/jeddah-to-yanbu,0.3242
/routes/makkah-to-madinah,/routes/dammam-airport-to-bahrain,0.1850
/routes/makkah-to-madinah,/routes/kaec-to-jeddah,0.3226
/routes/makkah-to-madinah,/routes/bahrain-airport-to-dammam,0.2200
/routes/makkah-to-madinah,/routes/bahrain-to-khobar,0.2294
/routes/makkah-to-madinah,/routes/manama-to-dammam,0.2276
/routes/makkah-to-madinah,/routes/riyadh-to-bahrain,0.2251
/routes/makkah-to-madinah,/routes/bahrain-to-riyadh,0.2276
/routes/makkah-to-madinah,/routes/riyadh-to-kuwait-city,0.2313
/routes/makkah-to-madinah,/routes/dammam-to-kuwait-city,0.2266
/routes/makkah-to-madinah,/routes/kuwait-city-to-dammam,0.2329
/routes/makkah-to-madinah,/routes/dammam-airport-to-khafji-border,0.2383
/routes/makkah-to-madinah,/routes/kuwait-city-to-riyadh,0.2342
/routes/makkah-to-madinah,/routes/khafji-border-to-dammam-airport,0.2417
/routes/makkah-to-madinah,/routes/dammam-to-kuwait-airport,0.2402
/routes/makkah-to-madinah,/routes/kuwait-airport-to-dammam,0.2392
/routes/makkah-to-madinah,/routes/dammam-airport-to-doha,0.2368
/routes/makkah-to-madinah,/routes/doha-to-dammam-airport,0.2388
/routes/makkah-to-madinah,/routes/riyadh-to-doha,0.2347
/routes/makkah-to-madinah,/routes/doha-to-riyadh,0.2385
/routes/makkah-to-madinah,/routes/al-khobar-to-doha,0.2484
/routes/makkah-to-madinah,/routes/doha-to-al-khobar,0.2485
/routes/makkah-to-madinah,/routes/riyadh-to-dubai,0.2261
/routes/makkah-to-madinah,/routes/dubai-to-riyadh,0.2357
/routes/makkah-to-madinah,/routes/dammam-to-dubai,0.2355
/routes/makkah-to-madinah,/routes/dubai-to-dammam,0.2344
/routes/makkah-to-madinah,/routes/riyadh-to-abu-dhabi,0.2377
/routes/makkah-to-madinah,/routes/abu-dhabi-to-riyadh,0.2420
/routes/makkah-to-madinah,/routes/riyadh-to-al-batha-border,0.2551
/routes/makkah-to-madinah,/routes/dammam-to-al-batha-border,0.2539
/routes/makkah-to-madinah,/routes/al-batha-border-to-riyadh,0.2530
/routes/makkah-to-madinah,/routes/al-batha-border-to-dammam,0.2472
/routes/makkah-to-madinah,/routes/tabuk-to-amman,0.2368
/routes/makkah-to-madinah,/routes/amman-to-tabuk,0.2348
/routes/makkah-to-madinah,/routes/alula-to-amman,0.2382
/routes/makkah-to-madinah,/routes/amman-to-alula,0.2366
/routes/makkah-to-madinah,/routes/taif-airport-to-makkah,0.2555
/routes/makkah-to-madinah,/routes/taif-airport-to-madinah,0.2481
/routes/makkah-to-madinah,/routes/alula-airport-to-madinah,0.2616
/routes/makkah-to-madinah,/routes/alula-airport-to-tabuk,0.2471
/routes/makkah-to-madinah,/routes/alula-airport-to-neom,0.2462
/routes/makkah-to-madinah,/routes/makkah-to-taif,0.3720
/routes/makkah-to-madinah,/routes/taif-to-makkah,0.2851
/routes/makkah-to-madinah,/routes/alula-to-tabuk,0.2659
/routes/makkah-to-madinah,/routes/tabuk-to-alula,0.2644
/routes/makkah-to-madinah,/routes/alula-to-neom,0.2551
/routes/makkah-to-madinah,/routes/neom-to-alula,0.2603
/routes/makkah-to-madinah,/routes/jeddah-to-dubai,0.2336
/routes/makkah-to-madinah,/routes/dubai-to-jeddah,0.2503
/routes/makkah-to-madinah,/routes/madinah-to-amman,0.2487
/routes/makkah-to-madinah,/routes/amman-to-madinah,0.2484
/routes/makkah-to-madinah,/routes/jeddah-airport-to-madinah,0.2761
/routes/makkah-to-madinah,/routes/madinah-to-jeddah-airport,0.2723
/routes/makkah-to-madinah,/routes/riyadh-to-khobar,0.1596
/routes/makkah-to-madinah,/routes/khobar-to-riyadh,0.1714
/routes/makkah-to-madinah,/routes/riyadh-to-jubail,0.1931
/routes/makkah-to-madinah,/routes/jubail-to-riyadh,0.2108
/routes/makkah-to-madinah,/routes/riyadh-to-hofuf,0.2050
/routes/makkah-to-madinah,/routes/hofuf-to-riyadh,0.2234
/routes/makkah-to-madinah,/routes/riyadh-to-qassim,0.2178
/routes/makkah-to-madinah,/routes/qassim-to-riyadh,0.2333
/routes/makkah-to-madinah,/routes/riyadh-to-hail,0.2134
/routes/makkah-to-madinah,/routes/hail-to-riyadh,0.2343
/routes/makkah-to-madinah,/routes/riyadh-to-madinah,0.2269
/routes/makkah-to-madinah,/routes/madinah-to-riyadh,0.2470
/routes/makkah-to-madinah,/routes/riyadh-to-taif,0.2223
/routes/makkah-to-madinah,/routes/taif-to-riyadh,0.2435
/routes/makkah-to-madinah,/routes/riyadh-to-abha,0.2201
/routes/makkah-to-madinah,/routes/abha-to-riyadh,0.2395
/routes/makkah-to-madinah,/routes/riyadh-to-tabuk,0.2256
/routes/makkah-to-madinah,/routes/tabuk-to-riyadh,0.2351
/routes/makkah-to-madinah,/routes/riyadh-to-yanbu,0.2284
/routes/makkah-to-madinah,/routes/yanbu-to-riyadh,0.2379
/routes/makkah-to-madinah,/routes/riyadh-to-neom,0.2188
/routes/makkah-to-madinah,/routes/neom-to-riyadh,0.2376
/routes/makkah-to-madinah,/routes/jeddah-to-riyadh,0.3114
/routes/makkah-to-madinah,/routes/jeddah-airport-to-riyadh,0.3073
/routes/makkah-to-madinah,/routes/riyadh-airport-to-jeddah,0.3399
/routes/makkah-to-madinah,/routes/tabuk-to-neom,0.3195
/routes/makkah-to-madinah,/routes/neom-to-tabuk,0.3228
/routes/makkah-to-madinah,/routes/jeddah-to-alula,0.3307
/routes/makkah-to-madinah,/routes/alula-to-riyadh,0.3287
/routes/makkah-to-madinah,/routes/alula-to-jeddah,0.3245
/routes/makkah-to-madinah,/routes/riyadh-airport-to-makkah,0.3324
/routes/makkah-to-madinah,/routes/jeddah-to-dammam,0.3317
/routes/makkah-to-madinah,/routes/dammam-to-jeddah,0.3281
/routes/makkah-to-madinah,/routes/alula-to-madinah,0.3326
/routes/makkah-to-madinah,/routes/riyadh-airport-to-madinah,0.3333
/routes/makkah-to-madinah,/routes/abha-to-jeddah,0.3505
/routes/makkah-to-madinah,/routes/tabuk-to-madinah,0.3464
/routes/makkah-to-madinah,/routes/madinah-to-tabuk,0.3492
/routes/makkah-to-madinah,/routes/dammam-airport-to-riyadh,0.3111
/routes/makkah-to-madinah,/routes/jeddah-airport-to-taif,0.3265
/routes/makkah-to-madinah,/routes/madinah-airport-to-riyadh,0.3212
/routes/makkah-to-madinah,/routes/taif-to-jeddah-airport,0.3315
/routes/makkah-to-madinah,/routes/madinah-to-yanbu,0.3557
/routes/makkah-to-madinah,/routes/yanbu-to-madinah,0.3483
/routes/makkah-to-madinah,/routes/taif-to-madinah,0.3589
/routes/makkah-to-madinah,/routes/madinah-to-taif,0.3578
/routes/makkah-to-madinah,/routes/jeddah-to-abha,0.3352
/routes/makkah-to-madinah,/routes/alula-to-yanbu,0.3362
/routes/makkah-to-madinah,/routes/yanbu-to-alula,0.3318
/routes/makkah-to-madinah,/routes/hail-to-madinah,0.3554
/routes/makkah-to-madinah,/routes/madinah-to-hail,0.3580
/routes/makkah-to-madinah,/routes/alula-airport-to-riyadh,0.3278
/routes/makkah-to-madinah,/routes/alula-airport-to-jeddah,0.3308
/routes/makkah-to-madinah,/routes/abha-airport-to-jeddah,0.3504
/routes/makkah-to-madinah,/routes/abha-airport-to-riyadh,0.3316
/routes/makkah-to-madinah,/routes/yanbu-to-jeddah-airport,0.3265
/routes/makkah-to-madinah,/routes/jeddah-airport-to-yanbu,0.3313
/routes/makkah-to-madinah,/routes/riyadh-to-jizan,0.3358
/routes/makkah-to-madinah,/routes/jizan-to-riyadh,0.3360
/routes/makkah-to-madinah,/routes/dammam-to-qatar-border,0.3146
/routes/makkah-to-madinah,/routes/riyadh-to-riyadh-airport,0.3283
/routes/makkah-to-madinah,/routes/riyadh-airport-to-riyadh,0.3128
/routes/makkah-to-madinah,/routes/jeddah-to-jeddah-airport,0.3472
/routes/makkah-to-madinah,/routes/jeddah-airport-to-jeddah,0.3403
/routes/makkah-to-madinah,/routes/madinah-airport-to-madinah,0.3561
/routes/makkah-to-madinah,/routes/madinah-to-madinah-airport,0.3649
/routes/makkah-to-madinah,/routes/riyadh-to-al-kharj,0.3460
/routes/makkah-to-madinah,/routes/riyadh-to-diriyah,0.3440
/routes/makkah-to-madinah,/routes/al-kharj-to-riyadh,0.3495
/routes/makkah-to-madinah,/routes/diriyah-to-riyadh,0.3489
/routes/makkah-to-madinah,/routes/khobar-to-bahrain-airport,0.3347
/routes/makkah-to-madinah,/routes/bahrain-airport-to-khobar,0.3413
/routes/makkah-to-madinah,/routes/jeddah-port-to-makkah,0.3746
/routes/makkah-to-madinah,/routes/dammam-to-bahrain-airport,0.3371
/routes/makkah-to-madinah,/routes/makkah-to-jeddah-port,0.5019
/routes/makkah-to-madinah,/routes/red-sea-airport-to-umluj,0.3418
/routes/makkah-to-madinah,/routes/umluj-to-red-sea-airport,0.3465
/routes/makkah-to-madinah,/routes/alula-to-alula-airport,0.3461
/routes/makkah-to-madinah,/routes/alula-airport-to-alula,0.3411
/routes/makkah-to-madinah,/routes/makkah-to-riyadh,0.3339
/routes/makkah-to-madinah,/routes/riyadh-to-makkah,0.2654
/routes/makkah-to-madinah,/routes/makkah-to-kaec,0.3546
/routes/makkah-to-madinah,/routes/makkah-to-yanbu,0.3641
/routes/makkah-to-madinah,/routes/makkah-to-alula,0.3568
/routes/makkah-to-madinah,/routes/makkah-to-dammam,0.3508
/routes/makkah-to-madinah,/routes/makkah-to-abha,0.3605
/routes/makkah-to-madinah,/routes/makkah-to-jeddah-airport,0.3515
/routes/makkah-to-madinah,/routes/dammam-to-khobar,0.2966
/routes/makkah-to-madinah,/routes/khobar-to-dammam,0.2980
/routes/makkah-to-madinah,/routes/dammam-to-dhahran,0.3015
/routes/makkah-to-madinah,/routes/dhahran-to-dammam,0.3038
/routes/makkah-to-madinah,/routes/dammam-to-jubail,0.3052
/routes/makkah-to-madinah,/routes/jubail-to-dammam,0.2988
/routes/makkah-to-madinah,/routes/dammam-to-ras-tanura,0.3062
/routes/makkah-to-madinah,/routes/ras-tanura-to-dammam,0.3012
/routes/makkah-to-madinah,/routes/dammam-to-qatif,0.3074
/routes/makkah-to-madinah,/routes/qatif-to-dammam,0.3039
/routes/makkah-to-madinah,/routes/dammam-to-saihat,0.3104
/routes/makkah-to-madinah,/routes/saihat-to-dammam,0.3054
/routes/makkah-to-madinah,/routes/dammam-to-al-khafji,0.3052
/routes/makkah-to-madinah,/routes/al-khafji-to-dammam,0.3027
/routes/makkah-to-madinah,/routes/dammam-to-hofuf,0.3074
/routes/makkah-to-madinah,/routes/hofuf-to-dammam,0.3007
/routes/makkah-to-madinah,/routes/dammam-to-abqaiq,0.3072
/routes/makkah-to-madinah,/routes/abqaiq-to-dammam,0.3038
/routes/makkah-to-madinah,/routes/dammam-to-khafji-border,0.2982
/routes/makkah-to-madinah,/routes/khafji-border-to-dammam,0.2985
/routes/makkah-to-madinah,/routes/dammam-airport-to-dhahran,0.3012
/routes/makkah-to-madinah,/routes/khobar-to-dammam-airport,0.2953
/routes/makkah-to-madinah,/routes/dhahran-to-dammam-airport,0.3072
/routes/makkah-to-madinah,/routes/dammam-airport-to-jubail,0.3037
/routes/makkah-to-madinah,/routes/jubail-to-dammam-airport,0.3022
/routes/makkah-to-madinah,/routes/dammam-airport-to-qatif,0.3008
/routes/makkah-to-madinah,/routes/qatif-to-dammam-airport,0.3051
/routes/makkah-to-madinah,/routes/dammam-airport-to-ras-tanura,0.3016
/routes/makkah-to-madinah,/routes/ras-tanura-to-dammam-airport,0.3046
/routes/makkah-to-madinah,/routes/dammam-airport-to-saihat,0.3044
