page,word_count,unique_word_count,boilerplate_ratio
/routes/makkah-to-madinah,1403,0,0.5887
/routes/jeddah-to-makkah,1528,2,0.5157
/routes/madinah-to-makkah,1399,5,0.5668
/routes/riyadh-to-dammam,1396,2,0.5652
/routes/jeddah-to-madinah,1376,2,0.5734
/routes/dammam-to-riyadh,1418,0,0.5642
/routes/riyadh-to-jeddah,1454,3,0.5261
/routes/madinah-to-alula,1369,1,0.5625
/routes/riyadh-to-alula,1442,1,0.5291
/routes/jeddah-to-taif,1403,1,0.5431
/routes/khobar-to-bahrain,1362,3,0.5441
/routes/dammam-to-bahrain,1344,0,0.5692
/routes/riyadh-to-qatar-border,1356,1,0.5590
/routes/dammam-airport-to-khobar,1406,1,0.5782
/routes/makkah-to-jeddah,1424,0,0.5829
/routes/madinah-to-jeddah,1380,0,0.5754
/routes/taif-to-jeddah,1401,1,0.4739
/routes/yanbu-to-jeddah,1358,2,0.4934
/routes/jeddah-to-kaec,1407,1,0.5380
/routes/jeddah-to-yanbu,1385,0,0.5502
/routes/dammam-airport-to-bahrain,2334,16,0.3303
/routes/kaec-to-jeddah,1374,0,0.5415
/routes/bahrain-airport-to-dammam,1931,5,0.3874
/routes/bahrain-to-khobar,1735,3,0.4207
/routes/manama-to-dammam,1741,2,0.4319
/routes/riyadh-to-bahrain,1944,3,0.4234
/routes/bahrain-to-riyadh,1923,0,0.4503
/routes/riyadh-to-kuwait-city,1851,0,0.4700
/routes/dammam-to-kuwait-city,1930,0,0.4472
/routes/kuwait-city-to-dammam,1854,0,0.4725
/routes/dammam-airport-to-khafji-border,1768,0,0.4627
/routes/kuwait-city-to-riyadh,1852,0,0.4703
/routes/khafji-border-to-dammam-airport,1739,2,0.4313
/routes/dammam-to-kuwait-airport,1762,0,0.4370
/routes/kuwait-airport-to-dammam,1725,0,0.4916
/routes/dammam-airport-to-doha,1775,0,0.4930
/routes/doha-to-dammam-airport,1749,0,0.4471
/routes/riyadh-to-doha,1814,0,0.4791
/routes/doha-to-riyadh,1793,0,0.4651
/routes/al-khobar-to-doha,1652,0,0.4619
/routes/doha-to-al-khobar,1668,0,0.4532
/routes/riyadh-to-dubai,1918,3,0.4234
/routes/dubai-to-riyadh,1841,0,0.4313
/routes/dammam-to-dubai,1809,0,0.4643
/routes/dubai-to-dammam,1811,0,0.4677
/routes/riyadh-to-abu-dhabi,1797,0,0.4585
/routes/abu-dhabi-to-riyadh,1783,0,0.4683
/routes/riyadh-to-al-batha-border,1632,0,0.4681
/routes/dammam-to-al-batha-border,1651,1,0.4682
/routes/al-batha-border-to-riyadh,1674,0,0.4438
/routes/al-batha-border-to-dammam,1694,0,0.4445
/routes/tabuk-to-amman,1788,0,0.3837
/routes/amman-to-tabuk,1816,0,0.3904
/routes/alula-to-amman,1773,0,0.3999
/routes/amman-to-alula,1787,1,0.4040
/routes/taif-airport-to-makkah,1703,2,0.4005
/routes/taif-airport-to-madinah,1670,0,0.4054
/routes/alula-airport-to-madinah,1564,0,0.4150
/routes/alula-airport-to-tabuk,1559,0,0.3964
/routes/alula-airport-to-neom,1595,0,0.3944
/routes/makkah-to-taif,1570,6,0.5057
/routes/taif-to-makkah,1551,2,0.4404
/routes/alula-to-tabuk,1503,0,0.4391
/routes/tabuk-to-alula,1515,0,0.4416
/routes/alula-to-neom,1597,1,0.4177
/routes/neom-to-alula,1549,0,0.4377
/routes/jeddah-to-dubai,1870,0,0.4048
/routes/dubai-to-jeddah,1842,1,0.3996
/routes/madinah-to-amman,1826,0,0.4179
/routes/amman-to-madinah,1832,0,0.3859
/routes/jeddah-airport-to-madinah,1582,4,0.4241
/routes/madinah-to-jeddah-airport,1587,10,0.4814
/routes/riyadh-to-khobar,3005,52,0.2619
/routes/khobar-to-riyadh,2736,23,0.2730
/routes/riyadh-to-jubail,2401,23,0.3278
/routes/jubail-to-riyadh,2100,7,0.3557
/routes/riyadh-to-hofuf,2202,12,0.3574
/routes/hofuf-to-riyadh,1943,5,0.3845
/routes/riyadh-to-qassim,2038,11,0.3862
/routes/qassim-to-riyadh,1859,1,0.4416
/routes/riyadh-to-hail,2122,13,0.3709
/routes/hail-to-riyadh,1877,0,0.4172
/routes/riyadh-to-madinah,2036,6,0.3841
/routes/madinah-to-riyadh,1856,2,0.4321
/routes/riyadh-to-taif,2007,16,0.3921
/routes/taif-to-riyadh,1817,3,0.3759
/routes/riyadh-to-abha,1996,23,0.3943
/routes/abha-to-riyadh,1793,0,0.4367
/routes/riyadh-to-tabuk,1972,8,0.3966
/routes/tabuk-to-riyadh,1822,0,0.3721
/routes/riyadh-to-yanbu,1925,6,0.4088
